,Date,Prices
2,1997-01-10 00:00:00,3.79
3,1997-01-17 00:00:00,4.19
4,1997-01-24 00:00:00,2.98
5,1997-01-31 00:00:00,2.91
6,1997-02-07 00:00:00,2.53
7,1997-02-14 00:00:00,2.3
8,1997-02-21 00:00:00,1.91
9,1997-02-28 00:00:00,1.82
10,1997-03-07 00:00:00,1.86
11,1997-03-14 00:00:00,1.96
12,1997-03-21 00:00:00,1.91
13,1997-03-28 00:00:00,1.84
14,1997-04-04 00:00:00,1.88
15,1997-04-11 00:00:00,1.98
16,1997-04-18 00:00:00,2.04
17,1997-04-25 00:00:00,2.14
18,1997-05-02 00:00:00,2.15
19,1997-05-09 00:00:00,2.29
20,1997-05-16 00:00:00,2.22
21,1997-05-23 00:00:00,2.22
22,1997-05-30 00:00:00,2.28
23,1997-06-06 00:00:00,2.17
24,1997-06-13 00:00:00,2.16
25,1997-06-20 00:00:00,2.22
26,1997-06-27 00:00:00,2.27
27,1997-07-04 00:00:00,2.15
28,1997-07-11 00:00:00,2.15
29,1997-07-18 00:00:00,2.24
30,1997-07-25 00:00:00,2.2
31,1997-08-01 00:00:00,2.22
32,1997-08-08 00:00:00,2.37
33,1997-08-15 00:00:00,2.53
34,1997-08-22 00:00:00,2.54
35,1997-08-29 00:00:00,2.58
36,1997-09-05 00:00:00,2.77
37,1997-09-12 00:00:00,2.76
38,1997-09-19 00:00:00,2.85
39,1997-09-26 00:00:00,3.08
40,1997-10-03 00:00:00,3
41,1997-10-10 00:00:00,2.83
42,1997-10-17 00:00:00,2.89
43,1997-10-24 00:00:00,3.21
44,1997-10-31 00:00:00,3.42
45,1997-11-07 00:00:00,3.16
46,1997-11-14 00:00:00,3.25
47,1997-11-21 00:00:00,2.89
48,1997-11-28 00:00:00,2.55
49,1997-12-05 00:00:00,2.51
50,1997-12-12 00:00:00,2.34
51,1997-12-19 00:00:00,2.34
52,1997-12-26 00:00:00,2.21
53,1998-01-02 00:00:00,2.26
54,1998-01-09 00:00:00,2.11
55,1998-01-16 00:00:00,2.05
56,1998-01-23 00:00:00,2.11
57,1998-01-30 00:00:00,2.08
58,1998-02-06 00:00:00,2.28
59,1998-02-13 00:00:00,2.21
60,1998-02-20 00:00:00,2.2
61,1998-02-27 00:00:00,2.22
62,1998-03-06 00:00:00,2.18
63,1998-03-13 00:00:00,2.22
64,1998-03-20 00:00:00,2.23
65,1998-03-27 00:00:00,2.3
66,1998-04-03 00:00:00,2.41
67,1998-04-10 00:00:00,2.57
68,1998-04-17 00:00:00,2.46
69,1998-04-24 00:00:00,2.4
70,1998-05-01 00:00:00,2.23
71,1998-05-08 00:00:00,2.14
72,1998-05-15 00:00:00,2.2
73,1998-05-22 00:00:00,2.13
74,1998-05-29 00:00:00,2.09
75,1998-06-05 00:00:00,2.1
76,1998-06-12 00:00:00,2
77,1998-06-19 00:00:00,2.11
78,1998-06-26 00:00:00,2.38
79,1998-07-03 00:00:00,2.39
80,1998-07-10 00:00:00,2.36
81,1998-07-17 00:00:00,2.21
82,1998-07-24 00:00:00,2.05
83,1998-07-31 00:00:00,1.95
84,1998-08-07 00:00:00,1.86
85,1998-08-14 00:00:00,1.85
86,1998-08-21 00:00:00,1.93
87,1998-08-28 00:00:00,1.81
88,1998-09-04 00:00:00,1.72
89,1998-09-11 00:00:00,1.83
90,1998-09-18 00:00:00,2.07
91,1998-09-25 00:00:00,2.24
92,1998-10-02 00:00:00,2.2
93,1998-10-09 00:00:00,1.99
94,1998-10-16 00:00:00,1.73
95,1998-10-23 00:00:00,1.9
96,1998-10-30 00:00:00,1.89
97,1998-11-06 00:00:00,2.11
98,1998-11-13 00:00:00,2.27
99,1998-11-20 00:00:00,2.12
100,1998-11-27 00:00:00,2.08
